,year,county,dgCount,povPcnt,realMedInc,lfpr,lf_size
1613,2012,Radford city,0.0,34.2,41023.15,0.9204936106275292,8109.0
1614,2013,Radford city,0.0,31.3,37395.69,0.9244830981317036,8338.0
1615,2014,Radford city,0.0,32.4,36382.25,0.9324269642604954,8462.0
1616,2015,Radford city,0.0,32.8,37371.1,0.9433773955187176,8291.0
1617,2016,Radford city,1.0,27.2,37309.62,0.945290222833016,8248.0
1618,2017,Radford city,0.0,28.6,41939.01,0.9507847233719304,8336.0
1619,2018,Radford city,0.0,30.4,39254.0,0.9614649136066848,8615.0
1620,1999,Richmond County,0.0,14.3,47820.01,0.9551055900967232,4036.0
1621,2000,Richmond County,0.0,15.7,48528.76,0.9564482349880756,3426.0
1622,2001,Richmond County,0.0,16.0,45369.81,0.9585042689129124,3441.0
1623,2002,Richmond County,0.0,16.8,44716.13,0.9428801352492698,3508.0
1624,2003,Richmond County,0.0,15.6,45167.06,0.93748858891178,3564.0
1625,2004,Richmond County,0.0,15.8,45771.25,0.9466428516348118,3464.0
1626,2005,Richmond County,0.0,17.0,46176.66,0.9525788395383544,3482.0
1627,2006,Richmond County,0.0,16.5,46805.54,0.9514367440626368,3496.0
1628,2007,Richmond County,0.0,17.7,48800.0,0.956697017076402,3500.0
1629,2008,Richmond County,0.0,18.4,61268.95,0.9497656747514746,3880.0
1630,2009,Richmond County,0.0,19.3,47656.33,0.9227221489450641,4088.0
1631,2010,Richmond County,0.0,18.5,46855.18,0.9294682947446784,4366.0
1632,2011,Richmond County,0.0,20.4,44335.72,0.933326968293677,4267.0
1633,2012,Richmond County,0.0,20.3,45132.04,0.936136169539448,3926.0
1634,2013,Richmond County,0.0,20.3,46144.56,0.9380147944936522,3939.0
1635,2014,Richmond County,0.0,19.7,44809.19,0.9454064829211238,3970.0
1636,2015,Richmond County,0.0,17.7,46517.0,0.954386115868018,3899.0
1637,2016,Richmond County,0.0,19.3,47509.99,0.9626512373428342,3902.0
1638,2017,Richmond County,0.0,18.4,49533.74,0.963847010860929,4043.0
1639,2018,Richmond County,0.0,15.9,49399.0,0.9685011602157526,4050.0
1640,1999,Richmond city,0.0,17.9,45611.19,0.96581685423567,93603.0
1641,2000,Richmond city,0.0,18.1,46834.02,0.9734190278077146,95424.0
1642,2001,Richmond city,0.0,17.6,44656.09,0.9582996917665556,96231.0
1643,2002,Richmond city,0.0,20.1,43664.95,0.9425226579572252,96296.0
1644,2003,Richmond city,4.0,20.3,43426.18,0.9421333359285988,95032.0
1645,2004,Richmond city,0.0,19.8,43372.54,0.9423201392016732,94900.0
1646,2005,Richmond city,1.0,19.9,44278.04,0.9463600130068498,95503.0
1647,2006,Richmond city,1.0,20.7,44646.92,0.9533537573057927,95447.0
1648,2007,Richmond city,0.0,22.4,46499.38,0.9562441364604644,98875.0
1649,2008,Richmond city,0.0,25.1,43220.89,0.9423385581991742,101506.0
1650,2009,Richmond city,0.0,23.3,43544.18,0.9042349103203547,101096.0
1651,2010,Richmond city,0.0,25.3,45260.1,0.905030313143293,106456.0
1652,2011,Richmond city,2.0,26.4,42930.37,0.915206606077022,107646.0
1653,2012,Richmond city,2.0,26.2,41563.33,0.9251009226402696,109323.0
1654,2013,Richmond city,0.0,25.4,42377.46,0.9319839272560779,110462.0
1655,2014,Richmond city,1.0,25.0,44671.16,0.9384483047275848,112298.0
1656,2015,Richmond city,1.0,24.4,42566.75,0.9478115152387188,112694.0
1657,2016,Richmond city,0.0,26.2,44300.66,0.9530306491702076,114513.0
1658,2017,Richmond city,1.0,24.0,47196.11,0.957021937432252,116822.0
1659,2018,Richmond city,0.0,22.3,48747.0,0.9640967792649192,117557.0
1660,1999,Roanoke County,0.0,5.4,73994.77,0.9868119630717928,47875.0
1661,2000,Roanoke County,0.0,4.8,74654.56,0.98251606311109,46009.0
1662,2001,Roanoke County,0.0,5.2,70550.62,0.9754101811449578,46496.0
1663,2002,Roanoke County,0.0,6.0,69713.32,0.9673716406315316,47124.0
1664,2003,Roanoke County,0.0,6.9,68911.18,0.9663360726957566,46140.0
1665,2004,Roanoke County,0.0,6.6,70064.77,0.9668484607865206,45699.0
1666,2005,Roanoke County,0.0,5.9,68609.57,0.9698979725193602,46636.0
1667,2006,Roanoke County,0.0,5.3,67221.95,0.9739457024480376,48751.0
1668,2007,Roanoke County,0.0,6.0,71701.86,0.9748148978954858,48977.0
1669,2008,Roanoke County,0.0,6.5,70186.01,0.968141010842631,49794.0
1670,2009,Roanoke County,0.0,6.1,66296.51,0.9412203578800676,48505.0
1671,2010,Roanoke County,0.0,7.0,66619.4,0.936629723254293,49257.0
1672,2011,Roanoke County,0.0,8.0,67562.07,0.9431237315955204,49724.0
1673,2012,Roanoke County,0.0,7.4,64153.45,0.9476641829944544,49569.0
1674,2013,Roanoke County,0.0,7.7,62259.2,0.9498457070457604,49826.0
1675,2014,Roanoke County,1.0,8.2,65758.15,0.9542038662588856,49945.0
1676,2015,Roanoke County,0.0,7.3,67168.14,0.9607316944313382,49067.0
1677,2016,Roanoke County,0.0,7.4,65197.39,0.9638789081270572,49068.0
1678,2017,Roanoke County,0.0,7.3,66759.66,0.9660126103811294,48892.0
1679,2018,Roanoke County,0.0,6.7,68734.0,0.9723717990286724,49066.0
1680,1999,Roanoke city,1.0,14.6,45054.82,0.9744859292558152,48809.0
1681,2000,Roanoke city,0.0,15.0,45373.25,0.975328234699816,46705.0
1682,2001,Roanoke city,0.0,15.1,42716.81,0.9646052012915708,47125.0
1683,2002,Roanoke city,1.0,16.6,42146.28,0.9502081255098864,47115.0
1684,2003,Roanoke city,0.0,16.9,43142.88,0.9481691848180648,45617.0
1685,2004,Roanoke city,0.0,16.3,43719.02,0.9535541818175904,44679.0
1686,2005,Roanoke city,0.0,17.2,43181.14,0.957672504475902,45225.0
1687,2006,Roanoke city,0.0,16.7,44110.07,0.9621701143786422,45481.0
1688,2007,Roanoke city,0.0,16.9,45044.94,0.9623714150378929,46288.0
1689,2008,Roanoke city,0.0,17.8,43292.2,0.9546142479258029,47073.0
1690,2009,Roanoke city,0.0,20.0,41166.06,0.9138883849334962,47265.0
1691,2010,Roanoke city,0.0,22.4,43265.68,0.9129000091212992,49317.0
1692,2011,Roanoke city,1.0,19.5,43057.92,0.9192552116951522,49488.0
1693,2012,Roanoke city,0.0,20.1,41417.6,0.9279191182339228,49653.0
1694,2013,Roanoke city,1.0,23.3,40189.97,0.9333184794550724,49779.0
1695,2014,Roanoke city,0.0,20.4,43249.51,0.9412134368408929,50056.0
1696,2015,Roanoke city,0.0,21.3,41958.36,0.951082849356482,48900.0
1697,2016,Roanoke city,0.0,22.3,40012.49,0.9565271624186026,48871.0
1698,2017,Roanoke city,0.0,19.3,44186.49,0.9585679668161742,48956.0
1699,2018,Roanoke city,0.0,20.2,42715.0,0.9671448645680804,48878.0
1700,1999,Rockbridge County,0.0,9.1,53223.38,0.9792441994797216,10241.0
1701,2000,Rockbridge County,0.0,8.9,54551.71,0.978252767953582,10674.0
1702,2001,Rockbridge County,0.0,8.8,51834.56,0.970508428137268,10880.0
